,Calories
0,409.1
1,479.0
2,340.0
3,282.4
4,406.0
5,300.0
6,374.0
7,253.3
8,195.1
9,269.0
10,329.3
11,250.7
12,345.3
13,379.3
14,275.0
15,215.2
16,300.0
17,375.79024390243904
18,323.0
19,243.0
20,364.2
21,282.0
22,300.0
23,246.0
24,334.5
25,250.0
26,241.0
27,375.79024390243904
28,280.0
29,380.3
30,243.0
31,180.1
32,299.0
33,223.0
34,361.0
35,415.0
36,300.0
37,300.0
38,300.0
39,266.0
40,180.1
41,286.0
42,329.4
43,400.0
44,397.0
45,273.0
46,387.6
47,300.0
48,298.0
49,397.6
50,380.2
51,643.1
52,263.0
53,486.0
54,238.0
55,450.7
56,413.0
57,305.0
58,226.4
59,321.0
60,1376.0
61,1034.4
62,853.0
63,341.0
64,131.4
65,800.4
66,873.4
67,816.0
68,110.4
69,1500.2
70,1115.0
71,387.6
72,700.0
73,953.2
74,304.0
75,563.2
76,251.0
77,300.0
78,500.4
79,1729.0
80,319.2
81,344.0
82,151.1
83,500.0
84,225.3
85,300.0
86,234.0
87,1000.1
88,242.0
89,50.3
90,600.1
91,375.79024390243904
92,105.3
93,50.5
94,127.4
95,229.4
96,128.2
97,244.2
98,188.2
99,604.1
100,77.7
101,500.0
102,500.0
103,500.4
104,92.7
105,124.0
106,800.3
107,86.2
108,500.3
109,1860.4
110,325.2
111,275.0
112,124.2
113,225.3
114,367.6
115,351.7
116,443.0
117,277.4
118,375.79024390243904
119,332.7
120,193.9
121,100.7
122,336.7
123,344.9
124,368.5
125,271.0
126,275.3
127,382.0
128,466.4
129,384.0
130,342.5
131,357.5
132,335.0
133,327.5
134,339.0
135,189.0
136,317.7
137,318.0
138,308.0
139,222.4
140,390.0
141,375.79024390243904
142,250.4
143,335.4
144,470.2
145,270.8
146,400.0
147,361.9
148,185.0
149,409.4
150,343.0
151,353.2
152,374.0
153,275.8
154,328.0
155,368.5
156,270.4
157,270.4
158,382.8
159,240.9
160,250.4
161,260.4
162,270.0
163,280.9
164,290.8
165,300.0
166,310.2
167,320.4
168,330.4
